Player,Nation,Pos,Age,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,PrgC,PrgP,PrgR,Gls,Ast,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,Team,total_points,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,selected_by_percent,now_cost,element_type
Alex Iwobi,ng NGA,MF,27.0,2,140.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,6.0,4.0,8.0,0.0,0.0,0.0,0.0,0.21,0.14,0.35,0.21,Everton,102,41,718.8,504.2,534.0,9,425,175.9,7,0.4,53,MID
Lewis Dobbin,eng ENG,MF,20.0,1,232.0,2.6,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.3,0.3,0.5,6.0,3.0,20.0,0.39,0.0,0.39,0.39,0.11,0.19,0.3,0.11,Everton,18,3,50.5,68.4,59.0,0,54,17.7,1,0.0,45,MID
Neal Maupay,fr FRA,FW,26.0,1,111.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.4,0.1,1.0,0.0,6.0,0.0,0.0,0.0,0.0,1.16,0.05,1.22,1.16,Everton,76,37,242.5,325.8,568.0,6,248,112.6,4,0.9,49,FWD
Thomas Cannon,ie IRL,FW,20.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Everton,1,0,0.0,0.0,0.0,0,3,0.0,0,0.0,45,FWD
Tyler Onyango,eng ENG,MF,20.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Everton,1,0,0.0,0.0,0.0,0,3,0.0,0,0.0,44,MID
Lewis Warrington,eng ENG,FW,20.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Everton,1,0,0.0,0.0,0.0,0,3,0.0,0,0.0,45,MID
Elijah Campbell,eng ENG,DF,18.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Everton,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,40,DEF
Mackenzie Hunt,ae UAE,DF,21.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Everton,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,45,MID
Andy Lonergan,ie IRL,GK,39.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Everton,0,0,0.0,0.0,0.0,0,0,0.0,0,0.1,39,GK
Jenson Metcalfe,eng ENG,MF,18.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Everton,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,45,MID
Mark Flekken,nl NED,GK,30.0,37,3285.0,36.5,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.5,0.0,5.0,0.0,0.0,0.03,0.0,0.03,0.0,0.01,0.01,0.0,Brentford,119,63,40.3,921.2,0.0,12,685,96.2,7,4.5,47,GK
Vitaly Janelt,de GER,"MF,DF",25.0,37,3054.0,33.9,1.0,3.0,1.0,0.0,0.0,8.0,0.0,1.8,1.8,4.8,25.0,123.0,81.0,0.03,0.09,0.03,0.12,0.05,0.14,0.19,0.05,Brentford,93,52,562.5,503.4,285.0,1,466,135.3,9,0.1,52,MID
Christian Nørgaard,dk DEN,MF,29.0,30,2505.0,27.8,2.0,1.0,2.0,0.0,0.0,8.0,0.0,3.5,3.5,1.9,15.0,161.0,42.0,0.07,0.04,0.07,0.11,0.12,0.07,0.19,0.12,Brentford,74,51,396.2,501.8,316.0,3,414,121.8,6,0.1,52,MID
Nathan Collins,ie IRL,DF,22.0,29,2652.0,29.5,1.0,1.0,1.0,0.0,0.0,3.0,0.0,1.7,1.7,2.2,11.0,97.0,18.0,0.03,0.03,0.03,0.07,0.06,0.07,0.13,0.06,Brentford,84,51,151.5,653.8,180.0,8,489,98.7,7,0.8,45,DEF
Yoane Wissa,cd COD,FW,26.0,29,2493.0,27.7,12.0,3.0,12.0,0.0,0.0,7.0,0.0,10.6,10.6,3.9,45.0,48.0,150.0,0.43,0.11,0.43,0.54,0.38,0.14,0.52,0.38,Brentford,131,40,384.0,592.8,769.0,15,457,173.2,11,5.1,57,FWD
Ethan Pinnock,jm JAM,DF,30.0,28,2521.0,28.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,11.0,61.0,16.0,0.07,0.0,0.07,0.07,0.07,0.04,0.11,0.07,Brentford,77,46,63.4,653.2,221.0,5,479,94.2,5,1.4,45,DEF
Mathias Jensen,dk DEN,MF,27.0,27,2204.0,24.5,3.0,3.0,3.0,0.0,0.0,5.0,0.0,0.7,0.7,4.0,19.0,123.0,66.0,0.12,0.12,0.12,0.25,0.03,0.16,0.19,0.03,Brentford,98,45,689.3,481.2,135.0,10,422,130.4,9,0.7,52,MID
Bryan Mbeumo,cm CMR,FW,23.0,22,1960.0,21.8,9.0,6.0,6.0,3.0,3.0,2.0,0.0,9.8,7.4,4.6,74.0,88.0,195.0,0.41,0.28,0.28,0.55,0.45,0.21,0.66,0.34,Brentford,127,31,572.1,554.2,576.0,12,364,170.1,5,6.7,68,MID
Kristoffer Ajer,no NOR,DF,25.0,21,1832.0,20.4,2.0,1.0,2.0,0.0,0.0,5.0,0.0,1.3,1.3,2.3,22.0,61.0,31.0,0.1,0.05,0.1,0.15,0.06,0.11,0.18,0.06,Brentford,68,33,166.6,406.8,223.0,3,323,79.7,5,0.7,44,DEF
Ivan Toney,eng ENG,FW,27.0,16,1450.0,16.1,4.0,2.0,4.0,0.0,0.0,5.0,0.0,6.0,6.0,1.5,23.0,40.0,98.0,0.25,0.12,0.25,0.37,0.37,0.09,0.46,0.37,Brentford,57,30,206.5,289.6,524.0,4,159,101.7,3,3.7,77,FWD
Keane Lewis-Potter,eng ENG,"FW,DF",22.0,15,1441.0,16.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,6.3,6.3,1.7,56.0,32.0,135.0,0.19,0.06,0.19,0.25,0.39,0.11,0.5,0.39,Brentford,73,29,203.8,280.0,573.0,1,186,105.6,6,0.1,47,MID
Ben Mee,eng ENG,DF,33.0,15,1272.0,14.1,2.0,0.0,2.0,0.0,0.0,1.0,1.0,1.5,1.5,0.3,11.0,49.0,9.0,0.14,0.0,0.14,0.14,0.1,0.02,0.13,0.1,Brentford,39,28,88.2,334.8,118.0,3,210,54.2,1,1.1,47,DEF
Sergio Reguilón,es ESP,DF,26.0,14,1118.0,12.4,0.0,4.0,0.0,0.0,0.0,4.0,1.0,0.8,0.8,2.8,34.0,38.0,40.0,0.0,0.32,0.0,0.32,0.06,0.23,0.29,0.06,Brentford,74,30,436.3,390.2,111.0,14,350,93.8,5,3.0,45,DEF
Neal Maupay,fr FRA,FW,26.0,13,1321.0,14.7,6.0,3.0,6.0,0.0,0.0,8.0,0.0,5.7,5.7,2.3,21.0,37.0,91.0,0.41,0.2,0.41,0.61,0.39,0.16,0.55,0.39,Brentford,76,37,242.5,325.8,568.0,6,248,112.6,4,0.9,49,FWD
Frank Onyeka,ng NGA,MF,25.0,11,1161.0,12.9,1.0,2.0,1.0,0.0,0.0,8.0,0.0,2.2,2.2,1.8,17.0,33.0,39.0,0.08,0.16,0.08,0.23,0.17,0.14,0.31,0.17,Brentford,39,27,178.3,259.0,189.0,0,150,62.6,1,0.0,49,MID
