Player,Nation,Pos,Age,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,PrgC,PrgP,PrgR,Gls,Ast,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,Team,total_points,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,selected_by_percent,now_cost,element_type
Serge Aurier,ci CIV,"DF,MF",30.0,10,833.0,9.3,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.5,10.0,47.0,29.0,0.0,0.22,0.0,0.22,0.02,0.05,0.07,0.02,NottinghamForest,27,15,84.8,187.6,45.0,3,137,31.8,1,0.6,45,DEF
Gonzalo Montiel,ar ARG,DF,26.0,8,801.0,8.9,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.1,0.1,1.4,10.0,28.0,32.0,0.0,0.22,0.0,0.22,0.01,0.15,0.17,0.01,NottinghamForest,28,11,118.3,170.6,32.0,4,152,31.9,1,0.1,44,DEF
Andrew Omobamidele,ie IRL,DF,21.0,8,783.0,8.7,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.1,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,NottinghamForest,11,15,25.1,148.6,16.0,0,94,18.9,0,0.0,45,DEF
Divock Origi,be BEL,FW,28.0,6,606.0,6.7,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.4,1.4,2.1,19.0,14.0,41.0,0.0,0.15,0.0,0.15,0.21,0.31,0.51,0.21,NottinghamForest,25,6,107.8,50.4,99.0,0,59,25.0,2,0.1,50,FWD
Joe Worrall,eng ENG,DF,26.0,5,439.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.1,0.2,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.02,NottinghamForest,13,9,22.1,90.0,18.0,3,74,13.0,1,0.1,43,DEF
Scott McKenna,sct SCO,DF,26.0,5,416.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.05,0.04,0.08,0.05,NottinghamForest,12,6,32.4,89.0,17.0,1,64,13.8,1,0.1,44,DEF
Brennan Johnson,wls WAL,"FW,MF",22.0,3,237.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,8.0,1.0,14.0,0.0,0.0,0.0,0.0,0.12,0.08,0.21,0.12,NottinghamForest,131,42,624.3,554.4,782.0,9,397,196.3,5,2.0,58,MID
Cheikhou Kouyaté,sn SEN,MF,33.0,2,212.0,2.4,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.12,0.02,0.14,0.12,NottinghamForest,12,6,14.3,36.0,25.0,0,32,7.1,0,0.0,48,MID
Remo Freuler,ch SUI,MF,31.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NottinghamForest,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,49,MID
Joe Gardner,eng ENG,DF,18.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NottinghamForest,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,45,FWD
Wayne Hennessey,wls WAL,GK,36.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NottinghamForest,0,0,0.0,0.0,0.0,0,0,0.0,0,0.2,39,GK
Ethan Horvath,us USA,GK,28.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NottinghamForest,0,0,0.0,0.0,0.0,0,0,0.0,0,0.1,43,GK
Jamie McDonnell,nir NIR,MF,19.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NottinghamForest,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,45,MID
Lewis O'Brien,eng ENG,MF,24.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NottinghamForest,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,49,MID
Hwang Ui-jo,kr KOR,"FW,MF",30.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NottinghamForest,0,0,0.0,0.0,0.0,0,0,0.0,0,0.2,44,FWD
Thomas Kaminski,be BEL,GK,30.0,38,3405.0,37.8,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LutonTown,86,85,10.0,1116.6,0.0,3,642,112.2,2,0.7,45,GK
Alfie Doughty,eng ENG,DF,23.0,34,2925.0,32.5,2.0,8.0,2.0,0.0,0.0,5.0,0.0,1.3,1.3,6.3,94.0,106.0,164.0,0.06,0.25,0.06,0.31,0.04,0.19,0.23,0.04,LutonTown,101,74,1126.0,690.4,318.0,11,577,213.3,2,6.2,43,DEF
Carlton Morris,eng ENG,"FW,MF",27.0,32,2862.0,31.8,11.0,4.0,6.0,5.0,5.0,4.0,0.0,11.4,7.5,2.8,37.0,56.0,120.0,0.35,0.13,0.19,0.31,0.36,0.09,0.45,0.23,LutonTown,146,72,305.6,620.2,908.0,18,451,183.4,3,4.3,47,FWD
Ross Barkley,eng ENG,MF,29.0,30,2618.0,29.1,5.0,4.0,5.0,0.0,0.0,6.0,0.0,4.1,4.1,3.7,48.0,163.0,39.0,0.17,0.14,0.17,0.31,0.14,0.13,0.27,0.14,LutonTown,101,66,622.8,687.4,379.0,4,498,168.7,2,0.9,45,MID
Teden Mengi,eng ENG,DF,21.0,28,2469.0,27.4,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.6,0.6,0.3,15.0,54.0,1.0,0.04,0.0,0.04,0.04,0.02,0.01,0.03,0.02,LutonTown,42,59,83.0,579.6,95.0,1,345,76.0,1,1.5,39,DEF
Gabriel Osho,ng NGA,DF,24.0,21,1846.0,20.5,2.0,0.0,2.0,0.0,0.0,3.0,0.0,1.1,1.1,0.1,10.0,37.0,4.0,0.1,0.0,0.1,0.1,0.05,0.01,0.06,0.05,LutonTown,41,47,37.9,448.6,103.0,1,286,59.0,2,0.1,44,DEF
Issa Kaboré,bf BFA,DF,22.0,21,1729.0,19.2,0.0,2.0,0.0,0.0,0.0,7.0,0.0,0.2,0.2,2.1,60.0,54.0,85.0,0.0,0.1,0.0,0.1,0.01,0.11,0.12,0.01,LutonTown,34,39,253.0,326.6,62.0,3,236,64.0,0,1.9,40,DEF
Amari'i Bell,jm JAM,DF,29.0,21,1720.0,19.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.5,32.0,76.0,10.0,0.0,0.0,0.0,0.0,0.01,0.02,0.04,0.01,LutonTown,35,41,119.6,358.2,50.0,3,263,52.7,2,2.2,38,DEF
Chiedozie Ogbene,ie IRL,"MF,DF",26.0,20,1995.0,22.2,4.0,1.0,4.0,0.0,0.0,1.0,0.0,4.2,4.2,3.1,127.0,53.0,150.0,0.18,0.05,0.18,0.23,0.19,0.14,0.33,0.19,LutonTown,84,47,378.3,412.6,486.0,7,387,127.7,2,0.1,48,FWD
Tahith Chong,nl NED,"MF,FW",23.0,20,1982.0,22.0,4.0,0.0,4.0,0.0,0.0,4.0,0.0,2.7,2.7,0.5,57.0,72.0,101.0,0.18,0.0,0.18,0.18,0.12,0.02,0.15,0.12,LutonTown,78,51,206.3,303.6,310.0,3,222,81.6,0,0.2,44,MID
Reece Burke,eng ENG,DF,26.0,20,1660.0,18.4,0.0,4.0,0.0,0.0,0.0,5.0,0.0,1.3,1.3,1.4,11.0,67.0,14.0,0.0,0.22,0.0,0.22,0.07,0.07,0.15,0.07,LutonTown,40,37,172.4,406.4,131.0,2,260,70.9,1,0.2,40,DEF
Elijah Adebayo,eng ENG,FW,25.0,16,1419.0,15.8,10.0,0.0,10.0,0.0,0.0,1.0,0.0,5.9,5.9,0.7,16.0,23.0,110.0,0.63,0.0,0.63,0.63,0.37,0.04,0.42,0.37,LutonTown,94,36,177.0,413.6,527.0,9,288,111.8,2,1.0,48,FWD
Albert Sambi Lokonga,be BEL,MF,23.0,16,1303.0,14.5,1.0,3.0,1.0,0.0,0.0,4.0,0.0,0.6,0.6,1.4,29.0,72.0,13.0,0.07,0.21,0.07,0.28,0.04,0.1,0.14,0.04,LutonTown,47,31,154.9,289.8,56.0,4,231,49.9,2,0.0,49,MID
Jordan Clark,eng ENG,MF,29.0,14,1304.0,14.5,1.0,1.0,1.0,0.0,0.0,4.0,0.0,1.0,1.0,1.3,21.0,51.0,39.0,0.07,0.07,0.07,0.14,0.07,0.09,0.16,0.07,LutonTown,44,41,187.5,198.8,177.0,3,156,56.5,1,0.0,48,MID
Andros Townsend,eng ENG,"MF,FW",32.0,14,1210.0,13.4,1.0,3.0,1.0,0.0,0.0,1.0,0.0,1.2,1.2,1.3,47.0,35.0,71.0,0.07,0.22,0.07,0.3,0.09,0.1,0.19,0.09,LutonTown,61,27,293.6,221.4,148.0,3,208,65.9,3,0.1,50,MID
Tom Lockyer,wls WAL,DF,28.0,14,1169.0,13.0,1.0,1.0,1.0,0.0,0.0,4.0,0.0,1.1,1.1,0.6,6.0,37.0,2.0,0.08,0.08,0.08,0.15,0.08,0.05,0.13,0.08,LutonTown,23,23,39.2,286.2,80.0,1,162,40.6,0,0.1,42,DEF
Marvelous Nakamba,zw ZIM,MF,29.0,13,1130.0,12.6,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.2,0.2,0.4,1.0,36.0,5.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.01,LutonTown,21,24,102.8,146.4,14.0,0,131,26.5,0,0.4,43,MID
Jacob Brown,sct SCO,"MF,FW",25.0,12,1019.0,11.3,2.0,0.0,2.0,0.0,0.0,4.0,0.0,2.8,2.8,0.7,25.0,19.0,53.0,0.18,0.0,0.18,0.18,0.25,0.06,0.3,0.25,LutonTown,39,26,116.4,162.6,249.0,3,115,52.0,1,0.1,49,FWD
Pelly Ruddock Mpanzu,cd COD,MF,30.0,11,1101.0,12.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,0.4,10.0,34.0,15.0,0.0,0.0,0.0,0.0,0.05,0.04,0.09,0.05,LutonTown,35,29,102.3,108.8,70.0,0,107,28.0,1,0.0,46,MID
Daiki Hashioka,jp JPN,DF,24.0,6,595.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.7,3.0,21.0,16.0,0.0,0.0,0.0,0.0,0.02,0.1,0.12,0.02,LutonTown,4,21,51.9,101.4,8.0,0,72,16.2,0,0.0,40,DEF
Fred Onyedinma,eng ENG,"DF,MF",26.0,4,407.0,4.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.1,9.0,6.0,21.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,LutonTown,11,14,32.8,36.2,71.0,0,19,14.1,0,0.0,50,MID
Mads Juel Andersen,dk DEN,DF,25.0,4,400.0,4.4,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.3,0.3,0.0,0.0,7.0,1.0,0.23,0.0,0.23,0.23,0.06,0.0,0.06,0.06,LutonTown,15,6,1.8,126.8,27.0,1,75,15.6,0,0.5,38,DEF
Cauley Woodrow,eng ENG,"FW,MF",28.0,2,427.0,4.7,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1.4,1.4,1.2,7.0,6.0,22.0,0.21,0.21,0.21,0.42,0.3,0.25,0.55,0.3,LutonTown,33,11,127.1,127.0,103.0,3,118,35.8,0,0.6,43,FWD
Luke Berry,eng ENG,"MF,DF",31.0,2,323.0,3.6,2.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.3,1.0,8.0,7.0,0.56,0.28,0.56,0.84,0.28,0.07,0.35,0.28,LutonTown,31,8,29.7,112.6,117.0,0,94,25.6,0,0.0,46,MID
Joseph Johnson,eng ENG,DF,17.0,0,77.0,0.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LutonTown,0,5,0.9,1.0,0.0,0,5,0.2,0,0.0,40,DEF
James Shea,eng ENG,GK,32.0,0,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LutonTown,1,0,0.0,11.0,0.0,0,8,1.1,0,0.1,42,GK
Zack Nelson,eng ENG,"MF,DF",18.0,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LutonTown,2,1,0.1,2.0,0.0,0,6,0.2,0,0.0,45,MID
Allan Campbell,sct SCO,MF,25.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LutonTown,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,49,MID
Christian Chigozie,eng ENG,DF,16.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LutonTown,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,40,DEF
Taylan Harris,eng ENG,FW,17.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LutonTown,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,45,FWD
Tim Krul,nl NED,GK,35.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LutonTown,0,0,0.0,0.0,0.0,0,0,0.0,0,0.1,44,GK
Jayden Luker,eng ENG,MF,18.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LutonTown,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,45,MID
Axel Piesold,eng ENG,MF,18.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LutonTown,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,45,MID
Dan Potts,eng ENG,DF,29.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LutonTown,0,0,0.0,0.0,0.0,0,0,0.0,0,0.1,39,DEF
Sander Berge,no NOR,MF,25.0,34,3005.0,33.4,1.0,2.0,1.0,0.0,0.0,10.0,1.0,1.9,1.9,2.4,64.0,164.0,29.0,0.03,0.06,0.03,0.09,0.06,0.07,0.13,0.06,Burnley,74,70,446.3,533.6,161.0,3,430,114.3,2,0.1,46,MID
Dara O'Shea,ie IRL,DF,24.0,32,2892.0,32.1,3.0,4.0,3.0,0.0,0.0,5.0,1.0,0.7,0.7,2.0,32.0,122.0,10.0,0.09,0.12,0.09,0.22,0.02,0.06,0.08,0.02,Burnley,69,71,189.7,772.0,213.0,2,478,117.7,2,0.3,44,DEF
James Trafford,eng ENG,GK,20.0,28,2520.0,28.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Burnley,70,62,3.3,903.6,0.0,5,533,90.7,2,0.9,44,GK
Zeki Amdouni,ch SUI,FW,22.0,27,1953.0,21.7,5.0,1.0,4.0,1.0,1.0,2.0,0.0,5.8,5.0,1.4,63.0,49.0,93.0,0.23,0.05,0.18,0.23,0.27,0.07,0.33,0.23,Burnley,85,41,246.5,372.8,509.0,11,243,112.4,5,0.2,51,FWD
Charlie Taylor,eng ENG,DF,29.0,25,2331.0,25.9,1.0,1.0,1.0,0.0,0.0,8.0,0.0,0.2,0.2,1.2,36.0,82.0,81.0,0.04,0.04,0.04,0.08,0.01,0.05,0.06,0.01,Burnley,47,46,275.7,395.6,59.0,1,347,73.3,2,2.7,39,DEF
Wilson Odobert,fr FRA,"MF,FW",18.0,25,2098.0,23.3,3.0,2.0,3.0,0.0,0.0,3.0,0.0,2.8,2.8,3.3,102.0,58.0,123.0,0.13,0.09,0.13,0.21,0.12,0.14,0.26,0.12,Burnley,82,48,435.4,331.0,445.0,3,303,121.1,2,0.1,50,MID
Josh Brownhill,eng ENG,MF,27.0,23,2252.0,25.0,4.0,2.0,4.0,0.0,0.0,4.0,1.0,1.9,1.9,2.1,19.0,90.0,36.0,0.16,0.08,0.16,0.24,0.08,0.08,0.16,0.08,Burnley,78,56,501.5,499.0,234.0,2,365,123.5,2,0.2,47,MID
Josh Cullen,ie IRL,MF,27.0,23,2057.0,22.9,2.0,3.0,2.0,0.0,0.0,9.0,0.0,0.6,0.6,1.8,22.0,123.0,22.0,0.09,0.13,0.09,0.22,0.03,0.08,0.11,0.03,Burnley,65,48,426.7,458.0,106.0,5,375,98.9,0,0.1,50,MID
Lyle Foster,za RSA,"FW,MF",22.0,22,1899.0,21.1,5.0,3.0,5.0,0.0,0.0,0.0,1.0,4.5,4.5,1.9,55.0,37.0,104.0,0.24,0.14,0.24,0.38,0.21,0.09,0.3,0.21,Burnley,75,43,263.4,364.2,467.0,4,229,109.6,2,0.4,47,FWD
Jacob Bruun Larsen,dk DEN,"MF,FW",24.0,16,1249.0,13.9,6.0,0.0,5.0,1.0,1.0,1.0,0.0,5.0,4.2,1.5,61.0,38.0,146.0,0.43,0.0,0.36,0.36,0.36,0.1,0.46,0.3,Burnley,82,23,416.5,335.8,448.0,7,237,119.5,3,0.1,48,MID
Lorenz Assignon,tg TOG,DF,23.0,15,1234.0,13.7,1.0,2.0,1.0,0.0,0.0,5.0,1.0,0.4,0.4,2.6,38.0,34.0,57.0,0.07,0.15,0.07,0.22,0.03,0.19,0.22,0.03,Burnley,25,32,176.0,270.2,119.0,3,140,56.6,0,0.2,40,DEF
Jordan Beyer,de GER,DF,23.0,15,1234.0,13.7,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.5,0.5,0.3,9.0,25.0,1.0,0.0,0.07,0.0,0.07,0.04,0.02,0.06,0.04,Burnley,30,23,46.1,330.8,35.0,4,236,41.3,2,0.8,39,DEF
Luca Koleosho,it ITA,"MF,FW",18.0,13,974.0,10.8,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.3,53.0,19.0,82.0,0.09,0.09,0.09,0.18,0.18,0.12,0.3,0.18,Burnley,40,23,147.9,86.8,213.0,0,80,44.5,3,0.0,48,MID
Ameen Al-Dakhil,be BEL,DF,21.0,12,1056.0,11.7,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.3,1.3,0.1,7.0,35.0,9.0,0.09,0.0,0.09,0.09,0.11,0.01,0.12,0.11,Burnley,19,26,42.8,193.0,84.0,0,127,32.0,0,1.2,38,DEF
Arijanet Muric,xk KVX,GK,24.0,10,900.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,Burnley,47,16,40.3,513.0,0.0,12,241,55.3,0,0.6,43,GK
David Datro Fofana,ci CIV,FW,20.0,10,879.0,9.8,4.0,1.0,4.0,0.0,0.0,1.0,0.0,4.5,4.5,1.8,21.0,15.0,39.0,0.41,0.1,0.41,0.51,0.46,0.19,0.65,0.46,Burnley,50,18,111.7,212.0,273.0,8,133,59.2,1,0.2,50,FWD
Connor Roberts,wls WAL,DF,27.0,8,823.0,9.1,0.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.2,6.0,38.0,13.0,0.0,0.11,0.0,0.11,0.0,0.02,0.02,0.0,Burnley,12,23,104.1,142.8,12.0,0,111,25.7,0,0.1,43,DEF
Jay Rodriguez,eng ENG,FW,34.0,7,822.0,9.1,2.0,1.0,1.0,1.0,1.0,0.0,0.0,3.5,2.7,0.2,2.0,17.0,28.0,0.22,0.11,0.11,0.22,0.38,0.02,0.4,0.3,Burnley,41,18,66.2,138.8,232.0,3,108,42.6,1,0.2,53,FWD
Hannes Delcroix,be BEL,DF,24.0,5,589.0,6.5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,0.2,2.0,18.0,6.0,0.0,0.0,0.0,0.0,0.05,0.03,0.09,0.05,Burnley,7,25,57.8,110.0,42.0,0,88,20.9,0,0.1,40,DEF
Aaron Ramsey,eng ENG,"MF,FW",20.0,5,527.0,5.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.4,8.0,8.0,17.0,0.0,0.0,0.0,0.0,0.06,0.07,0.13,0.06,Burnley,18,17,28.0,51.2,53.0,0,62,12.7,0,0.0,50,MID
Hjalmar Ekdal,se SWE,DF,24.0,5,437.0,4.9,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.1,5.0,11.0,1.0,0.0,0.0,0.0,0.0,0.01,0.01,0.03,0.01,Burnley,15,8,15.9,76.6,15.0,3,77,10.7,1,0.2,39,DEF
Mike Trésor,be BEL,"FW,MF",24.0,3,420.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.4,15.0,10.0,31.0,0.0,0.0,0.0,0.0,0.1,0.08,0.18,0.1,Burnley,20,10,110.5,44.4,24.0,0,73,18.0,0,0.0,52,MID
Anass Zaroury,ma MAR,"FW,MF",22.0,1,152.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.2,0.0,2.0,2.0,12.0,0.0,0.0,0.0,0.0,0.1,0.02,0.12,0.1,Burnley,4,4,36.3,6.8,19.0,0,10,5.6,0,0.0,46,MID
Nathan Redmond,eng ENG,"FW,MF",29.0,0,142.0,1.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3,7.0,8.0,22.0,0.0,0.0,0.0,0.0,0.0,0.19,0.19,0.0,Burnley,11,5,52.5,23.8,18.0,0,38,9.4,0,0.0,47,MID
Jack Cork,eng ENG,MF,34.0,0,27.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Burnley,4,0,5.2,4.2,2.0,0,8,1.1,0,0.0,48,MID
Michael Obafemi,ie IRL,"FW,MF",23.0,0,20.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.4,0.0,0.4,0.4,Burnley,2,0,0.6,0.0,17.0,0,4,1.7,0,0.0,49,FWD
Han-Noah Massengo,fr FRA,"MF,DF",22.0,0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Burnley,3,0,0.1,2.8,0.0,0,11,0.3,0,0.0,49,MID
CJ Egan-Riley,eng ENG,DF,20.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Burnley,0,0,0.0,0.0,0.0,0,0,0.0,0,0.1,39,DEF
Lawrence Vigouroux,cl CHI,GK,29.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Burnley,0,0,0.0,0.0,0.0,0,0,0.0,0,0.2,39,GK
Gustavo Hamer,nl NED,MF,26.0,34,2910.0,32.3,4.0,6.0,4.0,0.0,0.0,9.0,0.0,3.0,3.0,6.1,36.0,135.0,86.0,0.12,0.19,0.12,0.31,0.09,0.19,0.28,0.09,SheffieldUnited,108,83,929.8,581.2,294.0,5,462,180.4,2,0.2,49,MID
Jayden Bogle,eng ENG,DF,23.0,32,2788.0,31.0,3.0,0.0,3.0,0.0,0.0,9.0,0.0,2.3,2.3,1.0,38.0,60.0,92.0,0.1,0.0,0.1,0.1,0.07,0.03,0.11,0.07,SheffieldUnited,63,79,183.5,514.4,339.0,0,354,103.7,3,0.1,45,DEF
Jack Robinson,eng ENG,DF,29.0,31,2885.0,32.1,1.0,1.0,1.0,0.0,0.0,10.0,0.0,1.2,1.2,1.2,8.0,63.0,14.0,0.03,0.03,0.03,0.06,0.04,0.04,0.08,0.04,SheffieldUnited,33,83,162.1,602.8,190.0,1,375,95.7,1,0.1,43,DEF
Anel Ahmedhodžić,ba BIH,DF,24.0,29,2649.0,29.4,2.0,0.0,2.0,0.0,0.0,11.0,1.0,3.1,3.1,0.8,15.0,43.0,21.0,0.07,0.0,0.07,0.07,0.11,0.03,0.14,0.11,SheffieldUnited,31,89,96.7,568.4,228.0,4,325,89.6,1,0.2,43,DEF
Wes Foderingham,eng ENG,GK,32.0,29,2649.0,29.4,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SheffieldUnited,70,79,10.0,966.0,0.0,7,531,97.7,1,0.3,44,GK
Auston Trusty,us USA,DF,24.0,28,2572.0,28.6,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.4,0.4,1.1,10.0,40.0,15.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.01,SheffieldUnited,28,81,107.3,517.4,106.0,0,349,73.4,1,1.8,39,DEF
Cameron Archer,eng ENG,"FW,MF",22.0,21,1832.0,20.4,4.0,1.0,4.0,0.0,0.0,1.0,0.0,5.5,5.5,2.8,33.0,15.0,113.0,0.2,0.05,0.2,0.25,0.27,0.14,0.41,0.27,SheffieldUnited,82,50,309.3,266.0,353.0,9,241,92.8,2,3.4,42,FWD
Oliver Norwood,nir NIR,MF,32.0,16,1440.0,16.0,1.0,0.0,0.0,1.0,1.0,8.0,0.0,1.1,0.3,0.6,3.0,73.0,10.0,0.06,0.0,0.0,0.0,0.07,0.04,0.11,0.02,SheffieldUnited,42,47,275.3,311.2,82.0,3,232,66.8,0,0.0,48,MID
